text,label,id,confidence,start_pos,stop_pos
Spain,Spain,entity_2_12126631883428650343,0.9500000000000001,166,170
Sun King,Sun King,entity_4_15710854879085830250,0.9500000000000001,65,72
Maria Theresa,Maria Theresa,entity_5_5487406375490589770,0.9500000000000001,149,161
King ,King ,entity_10_9283586000179010542,0.9500000000000001,80,84
Theresa ,Theresa ,entity_11_18092385538364812595,0.9500000000000001,155,162
King of France,King of France,entity_13_14002134438076809166,0.9500000000000001,80,93
Louis X,Louis X,entity_1_3390789167414806923,0.95,1,7
Maria Theresa of Spain,Maria Theresa of Spain,entity_2_6742436781565161232,0.95,149,170
Louis XIV,Louis XIV,entity_3_16558720041161125157,0.95,1,9
"Louis, Grand Dauphin","Louis, Grand Dauphin",entity_4_4013332046959717314,0.95,218,237
Louis XI,Louis XI,entity_5_8428598413360913104,0.95,1,8
Grand Dauphin,Grand Dauphin,entity_6_13824943553520975063,0.95,225,237
France,France,entity_7_17657664602284010205,0.95,88,93
Louis XV,Louis XV,entity_8_15558184759676215910,0.95,262,269
the Sun King,the Sun King,entity_14_8981533552026630441,0.8500000000000001,61,72
Maria,Maria,entity_3_11514986965128340836,0.8,149,153
the Sun,the Sun,entity_16_13114645957754254060,0.7000000000000001,61,67
Louis,Louis,entity_17_11196323538266832162,0.4,1,5
September,September,entity_18_1303427905767367194,0.4,14,22
"King,","King,",entity_19_15212098894263996844,0.4,69,73
King,King,entity_20_2351335881967609347,0.4,69,72
Theresa,Theresa,entity_21_2193087172955374810,0.4,155,161
They,They,entity_22_18003441483508701430,0.4,181,184
"Louis,","Louis,",entity_23_16838881251433826206,0.4,218,223
Grand,Grand,entity_24_3904891773693903239,0.4,225,229
"Dauphin,","Dauphin,",entity_25_4130103694047419176,0.4,231,238
